ID,NAME,CITY,STATE,ZIP
0,MERCY HOSPITAL,MOUNDRIDGE,KS,67107
1,MERITER HSPTL,MADISON,WI,53715
2,ADVOCATE SHERMAN HOSPITAL,ELGIN,IL,60123
3,DEMING CARDIOLOGY,DEMING,NM,88030
4,WALTER REED NATIONAL MILITARY MEDICAL CENTER,BETHESDA,MD,20889
5,VA LONG BEACH HEALTHCARE SYSTEM,LONG BEACH,CA,90822
6,VA MEDICAL CENTER - DURHAM,DURHAM,NC,27705
7,VA MEDICAL CENTER - FAYETTEVILLE,FAYETTEVILLE,NC,28301
8,CHARLES GEORGE VA MEDICAL CENTER,ASHEVILLE,NC,28805
9,W. G. (BILL) HEFNER VA MEDICAL CENTER,SALISBURY,NC,28144
10,JAMES J. PETERS VA MEDICAL CENTER,BRONX,NY,10468
11,CHALMERS P. WYLIE VA AMBULATORY CARE CENTER,COLUMBUS,OH,43219
12,VA MEDICAL CENTER - CHILLICOTHE,CHILLICOTHE,OH,45601
13,VA MEDICAL CENTER - SALEM,SALEM,VA,24153
14,EL PASO VA HEALTH CARE SYSTEM,EL PASO,TX,79930
15,MADISON RIVER OAKS MED CTR-ER,CANTON,MS,39046
16,9TH MEDICAL GROUP,BEALE AFB,CA,95903
17,JFK MEDICAL CENTER,ATLANTIS,FL,33462
18,KINDRED HOSPITAL-NORTH FLORIDA,GREEN COVE SPRINGS,FL,32043
19,ORANGE PARK MEDICAL CENTER,ORANGE PARK,FL,32073
20,ATLANTIC SHORES HOSPITAL,FORT LAUDERDALE,FL,33308
21,PALOMAR HEALTH DOWNTOWN CAMPUS,ESCONDIDO,CA,92025
22,POMERADO HOSPITAL,POWAY,CA,92064
23,RADY CHILDREN'S HOSPITAL - SAN DIEGO,SAN DIEGO,CA,92123
24,EAST MORGAN COUNTY HOSPITAL DISTRICT,BRUSH,CO,80723
25,ST VINCENT GENERAL HOSPITAL DISTRICT,LEADVILLE,CO,80461
26,LONG BEACH MEMORIAL MEDICAL CENTER,LONG BEACH,CA,90806
27,NORWALK COMMUNITY HOSPITAL,NORWALK,CA,90650
28,OLYMPIA MEDICAL CENTER,LOS ANGELES,CA,90036
29,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,MORENO VALLEY,CA,92555
30,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER - D/P APH,RIVERSIDE,CA,92503
31,SOUTHWEST HEALTHCARE SYSTEM-WILDOMAR,WILDOMAR,CA,92595
32,DOMINICAN HOSPITAL-SANTA CRUZ/FREDERICK,SANTA CRUZ,CA,95062
33,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,FRESNO,CA,93721
34,FRESNO HEART AND SURGICAL HOSPITAL,FRESNO,CA,93720
35,MERCY SOUTHWEST HOSPITAL,BAKERSFIELD,CA,93311
36,RIDGECREST REGIONAL HOSPITAL,RIDGECREST,CA,93555
37,TRINITY HOSPITAL,WEAVERVILLE,CA,96093
38,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID,FOUNTAIN VALLEY,CA,92708
39,KAWEAH DELTA REHABILITATION HOSPITAL,VISALIA,CA,93277
40,PORTERVILLE DEVELOPMENTAL CENTER,PORTERVILLE,CA,93258
41,PERRY COUNTY MEMORIAL HOSPITAL,TELL CITY,IN,47586
42,DOCTORS MEMORIAL HOSPITAL,BONIFAY,FL,32425
43,HEALTHSOUTH DEACONESS REHABILITATION HOSPITAL,EVANSVILLE,IN,47714
44,HAMILTON CENTER INC,TERRE HAUTE,IN,47804
45,HARSHA BEHAVIORAL CENTER INC,TERRE HAUTE,IN,47802
46,CENTRAL INDIANA AMG SPECIALTY HOSPITAL LLC,MUNCIE,IN,47303
47,MERIDIAN SERVICES CORP,MUNCIE,IN,47303
48,OTIS R BOWEN CENTER FOR HUMAN SERVICES INC,WARSAW,IN,46580
49,JOHNSON MEMORIAL HOSPITAL,FRANKLIN,IN,46131
50,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,ANGOLA,IN,46703
51,INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,LA PORTE,IN,46350
52,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,BEDFORD,IN,47421
53,"GRANT-BLACKFORD MENTAL HEALTH, INC",MARION,IN,46952
54,MADISON COUNTY MEMORIAL HOSPITAL,MADISON,FL,32340
55,ST VINCENT'S MEDICAL CENTER SOUTHSIDE,JACKSONVILLE,FL,32216
56,CAPITAL REGIONAL MEDICAL CENTER - GADSDEN MEMORIAL CAMPUS,QUINCY,FL,32353
57,SELECT SPECIALTY HOSPITAL - PANAMA CITY,PANAMA CITY,FL,32401
58,GORDON MEMORIAL HOSPITAL DISTRICT,GORDON,NE,69343
59,JACKSON PARK HOSPITAL,CHICAGO,IL,60649
60,CENTRAL STATE HOSPITAL,LOUISVILLE,KY,40223
61,BRISTOL MYERS SQUIBB CHILDRENS HOSPITAL,NEW BRUNSWICK,NJ,8901
62,CARE ONE,PERTH AMBOY,NJ,8861
63,CANCER INSTITUTE OF NEW JERSEY,NEW BRUNSWICK,NJ,8901
64,OCEAN MEDICAL CENTER,BRICK,NJ,8724
65,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,OSCEOLA,AR,72370
66,PIGGOTT COMMUNITY HOSPITAL,PIGGOTT,AR,72454
67,BAPTIST HEALTH - HEBER SPRINGS,HEBER SPRINGS,AR,72543
68,HACKETTSTOWN REGIONAL MEDICAL CENTER,HACKETTSTOWN,NJ,7840
69,SARAH BUSH LINCOLN HEALTH CENTER,MATTOON,IL,61938
70,BOGALUSA - AMG SPECIALTY HOSPITAL,BOGALUSA,LA,70427
71,REEVES MEMORIAL MEDICAL CENTER,BERNICE,LA,71222
72,SERENITY SPRINGS SPECIALTY HOSPITAL,FARMERVILLE,LA,71241
73,LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL,HOT SPRINGS,AR,71901
74,HOT SPRINGS REHABILITATION CENTER,HOT SPRINGS,AR,71901
75,SOUTH COUNTY HOSPITAL,WAKEFIELD,RI,2879
76,RICHLAND PARISH HOSPITAL - DELHI,DELHI,LA,71232
77,"CENTEGRA MEMORIAL MEDICAL CENTER, SOUTH STREET - DBA CENTEGRA SPECIALTY HOSPITAL - WOODSTOCK, SOUTH ST",WOODSTOCK,IL,60098
78,ST MARYS HOSPITAL,DECATUR,IL,62521
79,BUNKIE GENERAL HOSPITAL,BUNKIE,LA,71322
80,SPEARFISH REGIONAL HOSPITAL,SPEARFISH,SD,57783
81,GRAFTON CITY HOSPITAL,GRAFTON,WV,26354
82,TWIN CREEKS HOSPITAL LP,ALLEN,TX,75013
83,KINDRED REHABILITATION HOSPITAL AMARILLO,AMARILLO,TX,79106
84,VIBRA SPECIALTY HOSPITAL,DALLAS,TX,75235
85,NORTH TEXAS HOSPITAL,DENTON,TX,76208
86,COMMUNITY GENERAL HOSPITAL OF DILLEY TEXAS,DILLEY,TX,78017
87,KINDRED HOSPITAL EL PASO,EL PASO,TX,79902
88,GLOBAL REHAB - FORT WORTH,FORT WORTH,TX,76132
89,THE METHODIST HOSPITAL,HOUSTON,TX,77030
90,CHRISTUS DUBUIS HOSPITAL OF HOUSTON,HOUSTON,TX,77002
91,METHODIST WILLOWBROOK HOSPITAL,HOUSTON,TX,77070
92,DEPAUL CENTER,WACO,TX,76702
93,PLAINVIEW HOSPITAL,PLAINVIEW,NY,11803
94,CROUSE HOSPITAL,SYRACUSE,NY,13210
95,CLIFTON SPRINGS HOSPITAL,CLIFTON SPRINGS,NY,14432
