FID,NAME,POP_2010,STATE
1,Brownsville,2331,PA
2,Connellsville,7637,PA
3,Dawson,367,PA
4,Dunbar,1042,PA
5,Everson,793,PA
6,Berlin,7588,NJ
7,Brooklawn,1955,NJ
8,Camden,77344,NJ
9,Chesilhurst,1634,NJ
10,Pine Hill,10233,NJ
11,Pine Valley,12,NJ
12,Runnemede,8468,NJ
13,Somerdale,5151,NJ
14,Laurel Springs,1908,NJ
15,Lawnside,2945,NJ
16,Oaklyn,4038,NJ
17,Stratford,7040,NJ
18,Tavistock,5,NJ
19,Woodlynne,2978,NJ
20,Eaton,8407,OH
21,Clayton,8179,NJ
22,Pitman,9011,NJ
23,Newfield,1553,NJ
24,Paulsboro,6097,NJ
25,Swedesboro,2584,NJ
26,Wenonah,2278,NJ
27,Westville,4288,NJ
28,Woodbury,10174,NJ
29,Woodbury Heights,3055,NJ
30,Salem,5146,NJ
31,Penns Grove,5147,NJ
32,Woodstown,3505,NJ
33,Linwood,7092,NJ
34,Brigantine,9450,NJ
35,Buena,4603,NJ
36,Pleasantville,20249,NJ
37,Port Republic,1115,NJ
38,Somers Point,10795,NJ
39,Northfield,8624,NJ
40,Ventnor City,10650,NJ
41,Highfield,1112,MD
42,Concordia,5395,KS
43,Holton,3329,KS
44,Atchison,11021,KS
45,Belpre,6441,OH
46,Marietta,14085,OH
47,Lebanon,20033,OH
48,Fairton,1264,NJ
49,Bridgeton,25349,NJ
50,Shiloh,516,NJ
51,Millville,28400,NJ
52,Vineland,60724,NJ
53,Goodland,4489,KS
54,Colby,5387,KS
55,Clay Center,4334,KS
56,Webster,1886,SD
57,Bristol,341,SD
58,Butler,17,SD
59,Andover,91,SD
60,Grenville,54,SD
61,Lily,4,SD
62,Tomahawk,3397,WI
63,Merrill,9661,WI
64,Timber Lake,443,SD
65,Isabel,135,SD
66,Antigo,8234,WI
67,White Lake,363,WI
68,Algoma,3167,WI
69,Stetsonville,541,WI
70,Gilman,410,WI
71,Lublin,118,WI
72,Medford,4326,WI
73,Rib Lake,910,WI
74,Suring,544,WI
75,Gillett,1386,WI
76,Oconto,4513,WI
77,Oconto Falls,2891,WI
78,Dixfield,1076,ME
79,Fryeburg,1631,ME
80,Mexico,1743,ME
81,Norway,2748,ME
82,Oxford,1263,ME
83,Rumford,4218,ME
84,South Paris,2267,ME
85,Revillo,119,SD
86,Stockholm,108,SD
87,Strandburg,72,SD
88,Twin Brooks,69,SD
89,Beloit,3835,KS
90,Manhattan,52281,KS
91,Lansing,11265,KS
92,Leavenworth,35251,KS
93,Baltimore,620961,MD
94,Fairland,23681,MD
95,Cape May,3607,NJ
96,Cape May Point,291,NJ
97,Sea Isle City,2114,NJ
