ID,NAME,CITY,STATE,ZIP
2794,RIVER OAKS HOSPITAL,FLOWOOD,MS,39296
2796,WHITFIELD MEDICAL/SURGICAL HOSPITAL,WHITFIELD,MS,39193
2797,SIMPSON GENERAL HOSPITAL,MENDENHALL,MS,39114
2798,AUDRAIN MEDICAL CENTER,MEXICO,MO,65265
2799,NORTHEAST REGIONAL MEDICAL CENTER,KIRKSVILLE,MO,63501
2800,SOUTH CENTRAL REGIONAL MEDICAL CENTER,LAUREL,MS,39441
2801,JEFFERSON DAVIS COMMUNITY HOSPITAL,PRENTISS,MS,39474
2802,DRUG REHABILITATION INCORPORATED - DAY ONE RESIDENCE,HOLLIS CENTER,ME,4042
2803,MILESTONE FOUNDATION - EXTENDED CARE,OLD ORCHARD BEACH,ME,4064
2804,FAULKNER HOSPITAL,BOSTON,MA,2130
2805,GREENE COUNTY HOSPITAL,LEAKESVILLE,MS,39451
2806,GRENADA LAKE MEDICAL CENTER,GRENADA,MS,38901
2807,CENTRAL MS MEDICAL CENTER,JACKSON,MS,39204
2808,REGENCY HOSPITAL OF JACKSON,JACKSON,MS,39216
2809,ST. DOMINIC-JACKSON MEMORIAL HOSPITAL,JACKSON,MS,39216
2810,UNIVERSITY HOSPITAL AND CLINICS - THE UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,JACKSON,MS,39216
2811,UNIVERSITY OF MISSOURI HEALTH CARE,COLUMBIA,MO,65212
2812,CITIZENS MEMORIAL HOSPITAL,BOLIVAR,MO,65613
2813,ST ELIZABETH HEALTH CENTER,YOUNGSTOWN,OH,44501
2814,LEAKE MEMORIAL HOSPITAL,CARTHAGE,MS,39051
2815,REGENCY HOSPITAL OF MERIDIAN,MERIDIAN,MS,39301
2816,RUSH FOUNDATION HOSPITAL,MERIDIAN,MS,39301
2817,THE SPECIALTY HOSPITAL OF MERIDIAN,MERIDIAN,MS,39301
2818,LAWRENCE COUNTY HOSPITAL,MONTICELLO,MS,39654
2819,BAPTIST MEMORIAL HOSPITAL - NORTH MS,OXFORD,MS,38655
2820,WESLEY MEDICAL CENTER,HATTIESBURG,MS,39402
2821,BAPTIST MEMORIAL HOSPITAL - UNION COUNTY,NEW ALBANY,MS,38652
2822,SOUTHEAST MISSOURI HOSPITAL,CAPE GIRARDEAU,MO,63701
2823,SAINT FRANCIS MEDICAL CENTER,CAPE GIRARDEAU,MO,63703
2824,NORTH SUNFLOWER MEDICAL CENTER,RULEVILLE,MS,38771
2825,BROCKTON HOSPITAL,BROCKTON,MA,2302
2826,LAKE REGIONAL HEALTH SYSTEM,OSAGE BEACH,MO,65065
2827,BLACK RIVER COMMUNITY MEDICAL CENTER,POPLAR BLUFF,MO,63901
2828,POPLAR BLUFF REGIONAL MEDICAL CENTER - NORTH,POPLAR BLUFF,MO,63901
2829,CALLAWAY COMMUNITY HOSPITAL,FULTON,MO,65251
2830,STONE COUNTY HOSPITAL,WIGGINS,MS,39577
2831,BOTHWELL REGIONAL HEALTH CENTER,SEDALIA,MO,65301
2832,PEMISCOT COUNTY HEALTH CENTER,HAYTI,MO,63851
2833,TALLAHATCHIE GENERAL HOSPITAL,CHARLESTON,MS,38921
2834,NATCHEZ COMMUNITY HOSPITAL,NATCHEZ,MS,39120
2835,NATCHEZ REGIONAL MEDICAL CENTER,NATCHEZ,MS,39121
2836,MAGNOLIA REGIONAL HEALTH CENTER,CORINTH,MS,38834
2837,SOUTHERN INDIANA REHABILITATION HOSPITAL,NEW ALBANY,IN,47150
2838,REGIONS HOSPITAL,ST PAUL,MN,55101
2839,ST JOSEPHS HOSPITAL,ST PAUL,MN,55102
2840,HEALTHEAST BETHESDA HOSPITAL,ST PAUL,MN,55103
2841,CAMBRIDGE MEDICAL CENTER,CAMBRIDGE,MN,55008
2842,PRAIRIE RIDGE HOSP HLTH SERV,ELBOW LAKE,MN,56531
2843,PARK NICOLLET METHODIST HOSP,ST LOUIS PARK,MN,55440
2844,FAIRVIEW SOUTHDALE HOSPITAL,EDINA,MN,55435
2845,CHILDRENS HOSP & CLINICS MINNE,MINNEAPOLIS,MN,55404
2846,MAPLE GROVE HOSPITAL,MAPLE GROVE,MN,55369
2847,PHILLIPS EYE INSTITUTE,MINNEAPOLIS,MN,55404
2848,NORTHERN MAINE MEDICAL CENTER,FORT KENT,ME,4743
2849,AROOSTOOK MEDICAL CENTER - COMMUNITY GENERAL DIVISION,FORT FAIRFIELD,ME,4742
2850,CHARLES A DEAN MEMORIAL HOSPITAL,GREENVILLE,ME,4441
2851,SANFORD BAGLEY MEDICAL CENTER,BAGLEY,MN,56621
2852,ORTONVILLE AREA HEALTH SERVICE,ORTONVILLE,MN,56278
2853,ESSENTIA HLTH HOLY TRINITY HOS,GRACEVILLE,MN,56240
2854,LAKE REGION HEALTHCARE CORP,FERGUS FALLS,MN,56538
2855,SAKAKAWEA MEDICAL CENTER - CAH,HAZEN,ND,58545
2856,MCKENZIE COUNTY HEALTHCARE SYSTEMS,WATFORD CITY,ND,58854
2857,ALTRU HOSPITAL,GRAND FORKS,ND,58201
2858,NORTHWOOD DEACONESS HEALTH CENTER,NORTHWOOD,ND,58267
2859,RICHARD P. STADTER PSYCHIATRIC CENTER,GRAND FORKS,ND,58208
2860,LAKEWOOD HEALTH CENTER,BAUDETTE,MN,56623
2861,LAKE VIEW MEMORIAL HOSPITAL,TWO HARBORS,MN,55616
2862,MADISON HOSPITAL,MADISON,MN,56256
2863,RAINY LAKE MEDICAL CENTER,INTERNATIONAL FALLS,MN,56649
2864,THE ACADIA HOSPITAL,BANGOR,ME,4401
2865,DOROTHEA DIX PSYCHIATRIC CENTER,BANGOR,ME,4401
2866,MILLINOCKET REGIONAL HOSPITAL,MILLINOCKET,ME,4462
2867,EASTERN MAINE MEDICAL CENTER,BANGOR,ME,4401
2868,ST ANDREWS HEALTH CENTER - CAH,BOTTINEAU,ND,58318
2869,MERCY HOSPITAL OF VALLEY CITY,VALLEY CITY,ND,58072
2870,WEST RIVER REGIONAL MEDICAL CENTER-CAH,HETTINGER,ND,58639
2871,CENTRACARE HEALTH SYSTEM-LONG,LONG PRAIRIE,MN,56347
2872,ESSENTIA HEALTH FOSSTON,FOSSTON,MN,56542
2873,ESSENTIA HEALTH SANDSTONE,SANDSTONE,MN,55072
2874,BIGFORK VALLEY HOSPITAL,BIGFORK,MN,56628
2875,DEER RIVER HEALTH CARE CENTER,DEER RIVER,MN,56636
2876,FIRSTLIGHT HEALTH SYSTEM,MORA,MN,55051
2877,KITTSON MEMORIAL HOSPITAL,HALLOCK,MN,56728
2878,ESSENTIA HEALTH ST MARYS MED,DULUTH,MN,55805
2879,ST LUKES HOSPITAL,DULUTH,MN,55805
2880,ESSENTIA HEALTH NORTHERN PINES,AURORA,MN,55705
2881,LIFECARE MEDICAL CENTER,ROSEAU,MN,56751
2882,LINTON HOSPITAL - CAH,LINTON,ND,58552
2883,CAVALIER COUNTY MEMORIAL HOSPITAL,LANGDON,ND,58249
2884,SOUTHWEST HEALTHCARE SERVICES,BOWMAN,ND,58623
2885,ST ALEXIUS MEDICAL CENTER,BISMARCK,ND,58501
2886,SANFORD BISMARCK,BISMARCK,ND,58506
2887,FARGO VA MEDICAL CENTER,FARGO,ND,58102
2888,KINDRED HOSPITAL FARGO,FARGO,ND,58103
2889,MILLE LACS HEALTH SYSTEM,ONAMIA,MN,56359
2890,ST GABRIELS HOSPITAL,LITTLE FALLS,MN,56345
2891,BUFFALO HOSPITAL,BUFFALO,MN,55313
2892,NEW RIVER MEDICAL CENTER,MONTICELLO,MN,55362
2893,STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,FORT YATES,ND,58538
2894,ST JOSEPH'S HOSPITAL & HEALTH CENTER,DICKINSON,ND,58601
2895,MERCY HOSPITAL OF DEVIL'S LAKE,DEVIL'S LAKE,ND,58301
2896,SANFORD HILLSBORO MEDICAL CENTER - CAH,HILLSBORO,ND,58045
2897,UNITY MEDICAL CENTER,GRAFTON,ND,58237
2898,SWIFT COUNTY BENSON HOSPITAL,BENSON,MN,56215
2899,APPLETON MUNICIPAL HOSPITAL,APPLETON,MN,56208
2900,RIDGEVIEW MEDICAL CENTER,WACONIA,MN,55387
2901,HUTCHINSON AREA HEALTH CARE,HUTCHINSON,MN,55350
2902,GLENCOE REGIONAL HEALTH SRVCS,GLENCOE,MN,55336
2903,HEART OF AMERICA MEDICAL CENTER,RUGBY,ND,58368
2904,CUYUNA REGIONAL MEDICAL CENTER,CROSBY,MN,56441
2905,MAHNOMEN HEALTH CENTER,MAHNOMEN,MN,56557
2906,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,58316
2907,STEVENS COMMUNITY MED CENTER,MORRIS,MN,56267
2908,ST CLOUD HOSPITAL,ST CLOUD,MN,56303
2909,ST MICHAELS HOSPITAL & NH,SAUK CENTRE,MN,56378
2910,ALBANY AREA HOSPITAL & MED CTR,ALBANY,MN,56307
2911,TRINITY HOSPITALS,MINOT,ND,58701
2912,ST FRANCIS HEALTHCARE CAMPUS,BRECKENRIDGE,MN,56520
2913,RIVERS EDGE HOSPITAL & CLINIC,ST PETER,MN,56082
2914,UNITED HOSPITAL DISTRICT,BLUE EARTH,MN,56013
2915,HARRISON COUNTY COMMUNITY HOSPITAL,BETHANY,MO,64424
2916,SANFORD TRACY MEDICAL CENTER,TRACY,MN,56175
2917,HENDRICKS COMM HOSP,HENDRICKS,MN,56136
2918,MISSOURI REHABILITATION CENTER,MOUNT VERNON,MO,65712
2919,RAY COUNTY MEMORIAL HOSPITAL,RICHMOND,MO,64085
2920,CEDAR COUNTY MEMORIAL HOSPITAL,EL DORADO SPRINGS,MO,64744
2921,SIBLEY MEDICAL CENTER,ARLINGTON,MN,55307
2922,CALAIS REGIONAL HOSPITAL,CALAIS,ME,4619
2923,RIVERVIEW PSYCHIATRIC CENTER,AUGUSTA,ME,4330
2924,MAINE COAST MEMORIAL HOSPITAL,ELLSWORTH,ME,4605
2925,BLUE HILL MEMORIAL HOSPITAL,BLUE HILL,ME,4614
2926,KIDSPEACE NATIONAL CENTERS OF NEW ENGLAND,ELLSWORTH,ME,4605
2927,MAYO CLINIC HEALTH SYSTEM IN RED WING,RED WING,MN,55066
2928,MAYO CLINIC HEALTH SYS L C,LAKE CITY,MN,55041
2929,FRANKLIN MEMORIAL HOSPITAL,FARMINGTON,ME,4938
2930,FAIRVIEW RIDGES HOSPITAL,BURNSVILLE,MN,55337
2931,NORTHFIELD CITY HOSPITAL & NSG,NORTHFIELD,MN,55057
2932,ACADIA VERMILION HOSPITAL,LAFAYETTE,LA,70507
2933,MCALESTER REGIONAL HEALTH CENTER,MCALESTER,OK,74501
2934,CARL ALBERT COMMUNITY MENTAL HEALTH CENTER,MCALESTER,OK,74502
2935,ST CHARLES MEDICAL CENTER,BEND,OR,97701
2936,ST CHARLES MEDICAL CENTER,REDMOND,OR,97756
2937,SOUTHERN COOS HOSPITAL & HEALTH CENTER,SE BANDON,OR,97411
2938,LOWER UMPQUA HOSPITAL DISTRICT,REEDSPORT,OR,97467
2939,EPIC MEDICAL CENTER,EUFAULA,OK,74432
2940,INTEGRIS MAYES COUNTY MEDICAL CENTER,PRYOR,OK,74361
2941,ST. LUKE'S MAGIC VALLEY MEDICAL CENTER,TWIN FALLS,ID,83301
2942,LATIMER COUNTY GENERAL HOSPITAL,NORTH WILBURTON,OK,74578
2943,KINGFISHER REGIONAL HOSPITAL,KINGFISHER,OK,73750
2944,BEAR LAKE MEMORIAL HOSPITAL,MONTPELIER,ID,83254
