FID,NAME,ADDRESS,CITY,STATE,ZIP
1,GOLF CLUB OF HOUSTON,5860 WILSON ROAD,HUMBLE,TX,77396
2,CHERRY HILLS COUNTRY CLUB,4125 SOUTH UNIVERSITY BOULEVARD,ENGLEWOOD,CO,80113
3,COLONIAL COUNTRY CLUB,3735 COUNTRY CLUB CIRCLE,FORT WORTH,TX,76109
4,TOURNAMENT PLAYERS CLUB AT FOUR SEASONS RESORT LAS COLINAS,4150 NORTH MACARTHUR BOULEVARD,IRVING,TX,75038
5,TOURNAMENT PLAYERS CLUB SOUTHWIND,3325 CLUB AT SOUTHWIND,MEMPHIS,TN,38125
6,TOURNAMENT PLAYERS CLUB AT DEERE RUN,3100 HEATHER KNOLL,SILVIS,IL,61282
7,MUIRFIELD VILLAGE GOLF CLUB,5750 MEMORIAL DRIVE,DUBLIN,OH,43017
8,VALHALLA GOLF CLUB,15503 SHELBYVILLE ROAD,LOUISVILLE,KY,40243
9,FIRESTONE COUNTRY CLUB,452 E WARNER RD,AKRON,OH,44319
10,GREENBRIAR GOLF CLUB,300 WEST MAIN STREET,WHITE SULPHUR SPRINGS,WV,24986
11,QUAIL HOLLOW COUNTRY CLUB,3700 GLEN EAGLES ROAD,CHARLOTTE,NC,28210
12,SEDGEFIELD COUNTRY CLUB,3201 FORSYTH DRIVE,GREENSBORO,NC,27407
13,PINEHURST RESORT,1 CAROLINA VISTA DRIVE,PINEHURST,NC,28374
14,TOURNAMENT PLAYERS CLUB SAWGRASS,110 CHAMPIONSHIP WAY,PONTE VEDRA BEACH,FL,32082
15,EAST LAKE GOLF CLUB,2575 ALSTON DRIVE SOUTHEAST,ATLANTA,GA,30317
16,AUGUSTA NATIONAL GOLF COURSE,807 EISENHOWER DRIVE,AUGUSTA,GA,30904
17,SEA ISLAND GOLF CLUB,100 RETREAT ROAD,ST SIMONS ISLAND,GA,31522
18,SEA PINES HARBOUR TOWN GOLF LINKS,11 LIGHTHOUSE LANE,HILTON HEAD ISLAND,SC,29928
