FID,INSTNAME,CITY,STATE,ZIP
2,Alabama A & M University,Normal,AL,35762
3,University of Alabama at Birmingham,Birmingham,AL,35294
4,Amridge University,Montgomery,AL,36117
5,University of Alabama in Huntsville,Huntsville,AL,35899
6,Alabama State University,Montgomery,AL,36104
7,University of Alabama System Office,Tuscaloosa,AL,35401
8,The University of Alabama,Tuscaloosa,AL,35487
9,Central Alabama Community College,Alexander City,AL,35010
10,Athens State University,Athens,AL,35611
11,Auburn University at Montgomery,Montgomery,AL,36117
12,Auburn University,Auburn University,AL,36849
13,Birmingham Southern College,Birmingham,AL,35254
14,Chattahoochee Valley Community College,Phenix City,AL,36869
15,Concordia College Alabama,Selma,AL,36701
16,South University-Montgomery,Montgomery,AL,36116
17,Enterprise State Community College,Enterprise,AL,36330
18,James H Faulkner State Community College,Bay Minette,AL,36507
19,Faulkner University,Montgomery,AL,36109
20,Gadsden State Community College,Gadsden,AL,35903
21,New Beginning College of Cosmetology,Albertville,AL,35951
22,George C Wallace State Community College-Dothan,Dothan,AL,36303
23,George C Wallace State Community College-Hanceville,Hanceville,AL,35077
24,George C Wallace State Community College-Selma,Selma,AL,36703
25,Herzing University-Birmingham,Birmingham,AL,35209
26,Huntingdon College,Montgomery,AL,36106
27,Heritage Christian University,Florence,AL,35630
28,J F Drake State Community and Technical College,Huntsville,AL,35811
29,J F Ingram State Technical College,Deatsville,AL,36022
30,Jacksonville State University,Jacksonville,AL,36265
31,Jefferson Davis Community College,Brewton,AL,36426
32,Jefferson State Community College,Birmingham,AL,35215
33,John C Calhoun State Community College,Tanner,AL,35671
34,Judson College,Marion,AL,36756
35,Lawson State Community College-Birmingham Campus,Birmingham,AL,35221
36,University of West Alabama,Livingston,AL,35470
37,Lurleen B Wallace Community College,Andalusia,AL,36420
38,Marion Military Institute,Marion,AL,36756
39,Miles College,Fairfield,AL,35064
40,University of Mobile,Mobile,AL,36613
41,University of Montevallo,Montevallo,AL,35115
42,Northwest-Shoals Community College,Muscle Shoals,AL,35661
43,University of North Alabama,Florence,AL,35632
44,Northeast Alabama Community College,Rainsville,AL,35986
45,Oakwood University,Huntsville,AL,35896
46,Alabama Southern Community College,Monroeville,AL,36460
47,Prince Institute-Southeast,Montgomery,AL,36117
48,Reid State Technical College,Evergreen,AL,36401
49,Bishop State Community College,Mobile,AL,36603
50,Samford University,Birmingham,AL,35229
51,Selma University,Selma,AL,36701
52,Shelton State Community College,Tuscaloosa,AL,35405
53,Snead State Community College,Boaz,AL,35957
54,University of South Alabama,Mobile,AL,36688
55,Spring Hill College,Mobile,AL,36608
56,Southeastern Bible College,Birmingham,AL,35224
57,Stillman College,Tuscaloosa,AL,35403
58,Talladega College,Talladega,AL,35160
59,H Councill Trenholm State Technical College,Montgomery,AL,36108
60,Troy University,Troy,AL,36082
61,Tuskegee University,Tuskegee,AL,36088
62,United States Sports Academy,Daphne,AL,36526
63,Bevill State Community College,Jasper,AL,35501
64,University of Alaska Anchorage,Anchorage,AK,99508
65,Alaska Bible College,Palmer,AK,99645
66,University of Alaska Fairbanks,Fairbanks,AK,99775
67,University of Alaska Southeast,Juneau,AK,99801
68,Alaska Pacific University,Anchorage,AK,99508
69,AVTEC-Alaska's Institute of Technology,Seward,AK,99664
70,Charter College-Anchorage,Anchorage,AK,99508
71,Prince William Sound Community College,Valdez,AK,99686
72,Alaska Career College,Anchorage,AK,99507
73,University of Alaska System of Higher Education,Fairbanks,AK,99775
74,Everest College-Phoenix,Phoenix,AZ,85021
75,Collins College,Phoenix,AZ,85040
76,Empire Beauty School-Paradise Valley,Phoenix,AZ,85032
77,Empire Beauty School-Tucson,Tucson,AZ,85716
78,Thunderbird School of Global Management,Glendale,AZ,85306
79,American Indian College of the Assemblies of God Inc,Phoenix,AZ,85021
80,American Institute of Technology,Phoenix,AZ,85043
81,Carrington College-Phoenix,Phoenix,AZ,85051
82,Carrington College-Mesa,Mesa,AZ,85210
83,Carrington College-Tucson,Tucson,AZ,85705
84,College America-Flagstaff,Flagstaff,AZ,86004
85,Arizona Academy of Beauty-East,Tucson,AZ,85712
86,Arizona Automotive Institute,Glendale,AZ,85301
87,Brookline College-Phoenix,Phoenix,AZ,85021
88,Arizona State University-Tempe,Tempe,AZ,85287
89,Arizona Western College,Yuma,AZ,85365
90,University of Arizona,Tucson,AZ,85721
91,Southwest University of Visual Arts-Tucson,Tucson,AZ,85716
92,Brillare Hairdressing Academy,Scottsdale,AZ,85254
93,Central Arizona College,Coolidge,AZ,85128
94,Brown Mackie College-Tucson,Tucson,AZ,85712
95,Charles of Italy Beauty College,Lake Havasu City,AZ,86403
96,Cochise College,Douglas,AZ,85607
97,Empire Beauty School-Flagstaff,Flagstaff,AZ,86004
98,Empire Beauty School-Chandler,Chandler,AZ,85224
99,Cortiva Institute-Tucson,Tucson,AZ,85710
100,DeVry University-Arizona,Phoenix,AZ,85021
101,Avalon School of Cosmetology-Mesa,Mesa,AZ,85210
102,Eastern Arizona College,Thatcher,AZ,85552
103,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301
104,Frank Lloyd Wright School of Architecture,Scottsdale,AZ,85261
105,Glendale Community College,Glendale,AZ,85302
106,Grand Canyon University,Phoenix,AZ,85017
107,Anthem College-Phoenix,Phoenix,AZ,85014
108,International Academy of Hair Design,Mesa,AZ,85202
109,Kaplan College-Phoenix,Phoenix,AZ,85029
110,Maricopa Community College System Office,Tempe,AZ,85281
111,GateWay Community College,Phoenix,AZ,85034
112,Mesa Community College,Mesa,AZ,85202
113,ITT Technical Institute-Tucson,Tucson,AZ,85704
114,ITT Technical Institute-Tempe,Tempe,AZ,85282
115,Mohave Community College,Kingman,AZ,86409
116,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,85027
117,Dine College,Tsaile,AZ,86556
118,Northern Arizona University,Flagstaff,AZ,86011
119,Northland Pioneer College,Holbrook,AZ,86025
120,Ottawa University-Phoenix,Phoenix,AZ,85021
121,Phoenix College,Phoenix,AZ,85013
122,Cortiva Institute-Scottsdale,Scottsdale,AZ,85257
123,University of Phoenix-Phoenix Campus,Tempe,AZ,85282
124,Pima Community College,Tucson,AZ,85709
125,Pima Medical Institute-Tucson,Tucson,AZ,85716
126,Pima Medical Institute-Albuquerque,Albuquerque,NM,87110
127,Prescott College,Prescott,AZ,86301
128,Refrigeration School Inc,Phoenix,AZ,85034
129,Rio Salado College,Tempe,AZ,85281
130,Roberto-Venn School of Luthiery,Phoenix,AZ,85007
131,Hair Academy of Safford,Safford,AZ,85546
132,Scottsdale Community College,Scottsdale,AZ,85256
133,South Mountain Community College,Phoenix,AZ,85042
134,Arizona Christian University,Phoenix,AZ,85032
135,Tucson College,Tucson,AZ,85711
136,Universal Technical Institute of Arizona Inc,Avondale,AZ,85323
137,Western International University,Tempe,AZ,85282
138,Empire Beauty School-NW Phoenix,Glendale,AZ,85051
139,Yavapai College,Prescott,AZ,86301
140,University of Arkansas at Little Rock,Little Rock,AR,72204
141,University of Arkansas for Medical Sciences,Little Rock,AR,72205
142,ABC Beauty College Inc,Arkadelphia,AR,71923
143,Arkansas Baptist College,Little Rock,AR,72202
144,Arkansas Beauty School,Little Rock,AR,72209
145,Arkansas Beauty College,Russellville,AR,72801
146,Lyon College,Batesville,AR,72501
147,Arkansas College of Barbering and Hair Design,North Little Rock,AR,72114
148,Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,72901
149,University of Arkansas,Fayetteville,AR,72701
150,University of Arkansas at Pine Bluff,Pine Bluff,AR,71601
151,Arkansas State University-Beebe,Beebe,AR,72012
152,Arkansas State University-Main Campus,Jonesboro,AR,72401
153,Arkansas Tech University,Russellville,AR,72801
154,University of Arkansas at Monticello,Monticello,AR,71656
155,Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,72076
156,Baptist Health Schools-Little Rock,Little Rock,AR,72210
157,Black River Technical College,Pocahontas,AR,72455
