FID,INSTNAME,CITY,STATE,ZIP
6599,DeVry University-Kentucky,Louisville,KY,40223
6600,Chamberlain College of Nursing-Administrative Office,Downers Grove,IL,60515
6601,Chamberlain College of Nursing-Illinois,Addison,IL,60101
6602,Chamberlain College of Nursing-Ohio,Columbus,OH,43209
6603,Chamberlain College of Nursing-Arizona,Phoenix,AZ,85021
6604,Career Quest Learning Centers-Jackson,Jackson,MI,48901
6605,Regency Beauty Institute-Fort Collins,Fort Collins,CO,80528
6606,Regency Beauty Institute-Tolleson,Phoenix,AZ,85033
6607,Regency Beauty Institute-Pasadena,Pasadena,TX,77505
6608,Regency Beauty Institute-Dayton,Dayton,OH,45459
6609,Regency Beauty Institute-Akron,Akron,OH,44310
6610,Regency Beauty Institute-Detroit Southgate,Southgate,MI,48195
6611,Regency Beauty Institute-Flint,Flint,MI,48507
6612,Regency Beauty Institute-Grand Rapids,Walker,MI,49544
6613,Regency Beauty Institute-Cypresswood,Spring,TX,77373
6614,Bryan University,Rogers,AR,72756
6615,Regency Beauty Institute-Austin,Austin,TX,78704
6616,Regency Beauty Institute-Mesa,Mesa,AZ,85202
6617,Regency Beauty Institute-Nashville,Antioch,TN,37013
6618,Regency Beauty Institute-Charlotte,Charlotte,NC,28273
6619,Regency Beauty Institute-North Olmsted,North Olmsted,OH,44070
6620,Regency Beauty Institute-Columbus,Columbus,OH,43214
6621,Regency Beauty Institute-Elgin,Elgin,IL,60123
6622,The Salon Professional Academy-Appleton,Appleton,WI,54915
6623,Milan Institute of Cosmetology-Fairfield,Fairfield,CA,94533
6624,Milan Institute of Cosmetology-Reno,Reno,NV,89502
6625,Milan Institute of Cosmetology-Visalia,Visalia,CA,93277
6626,Ottawa University-Online,Ottawa,KS,66067
6627,Broadview University-Orem,Orem,UT,84057
6628,Paul Mitchell the School-Esani,Roswell,GA,30076
6629,Institute of Production and Recording,Minneapolis,MN,55401
6630,Virginia College-Greenville,Greenville,SC,29607
6631,Paul Mitchell the School-Birmingham,Hoover,AL,35216
6632,Taft University System,Santa Ana,CA,92704
6633,Mayfield College,Cathedral City,CA,92234
6634,International Polytechnic Institute,Calexico,CA,92231
6635,Academy of Esthetics and Cosmetology,San Fernando,CA,91340
6636,BioHealth College,San Jose,CA,95134
6637,International Professional School of Bodywork,San Diego,CA,92123
6638,Borner's Barber College,Los Angeles,CA,90047
6639,Paul Mitchell the School-Pasadena,Alhambra,CA,91801
6640,San Francisco Institute of Esthetics and Cosmetology,San Francisco,CA,94103
6641,Laurus College,San Luis Obispo,CA,93401
6642,Healing Hands School of Holistic Health,Escondido,CA,92025
6643,Career Development Institute,Los Angeles,CA,90035
6644,Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,80305
6645,Aspen University,Denver,CO,80246
6646,Institute of Taoist Education and Acupuncture,Louisville,CO,80027
6647,National Beauty College,Denver,CO,80221
6648,Denver School of Nursing,Denver,CO,80202
6649,Cambridge Institute of Health & Technology,Delray Beach,FL,33484
6650,Cozmo The School,Bonita Springs,FL,34135
6651,Allied Health Institute,Plantation,FL,33317
