FID,NAME,POP_2010,STATE
34230,Arivaca Junction,1090,AZ
34231,Tierras Nuevas Poniente,3228,PR
34232,Penelope,198,TX
34233,Na'alehu,866,HI
34234,Aceitunas,1436,PR
34235,Bartolo,1311,PR
34236,Bynum,199,TX
34237,Charco,52,AZ
34238,Sabana Hoyos,1783,PR
34239,Pa'auilo,595,HI
34240,Monte Grande,2800,PR
34241,Hato Candal,2055,PR
34242,Carl's Corner,173,TX
34243,Chiawuli Tak,78,AZ
34244,Pole Ojea,1695,PR
34245,Animas,1203,PR
34246,Pahala,1356,HI
34247,La Dolores,3081,PR
34248,Whitney,2087,TX
34249,Puerto Real,5983,PR
34250,Pahoa,945,HI
34251,Naguabo,4443,PR
34252,Comobabi,8,AZ
34253,Arecibo,44191,PR
34254,Wells,790,TX
34255,Bajadero,3710,PR
34256,Cowlic,135,AZ
34257,Betances,876,PR
34258,La Alianza,1947,PR
34259,Papa'ikou,1314,HI
34260,Gu Oidak,188,AZ
34261,Pe_a Pobre,991,PR
34262,Miranda,1804,PR
34263,Haivana Nakya,96,AZ
34264,Santa Anna,1099,TX
34265,Monserrate,2592,PR
34266,Ko Vaya,46,AZ
34267,Boquer_n,2023,PR
34268,Pauka'a,425,HI
34270,Sabana,1630,PR
34271,Maish Vaya,158,AZ
34272,Streetman,247,TX
34273,Kodiak,6130,AK
34274,Vega Baja,25905,PR
34275,Nolic,37,AZ
34276,Pepe'ekeo,1789,HI
34277,Cabo Rojo,9803,PR
34278,Wortham,1073,TX
34279,Daguao,1604,PR
34280,Coto Norte,1604,PR
34281,Rillito,97,AZ
34282,Larsen Bay,87,AK
34283,Carolina,157832,PR
34284,San Miguel,197,AZ
34285,Puako,772,HI
34286,Lamboglia,1050,PR
34287,Van Horn,2063,TX
34288,Duque,1320,PR
34289,Old Harbor,218,AK
34290,Guaynabo,75443,PR
34291,South Komelik,111,AZ
34292,Summerhaven,40,AZ
34293,San Lorenzo,8037,PR
34294,Volcano,2575,HI
34295,Patillas,4333,PR
34296,Ouzinkie,161,AK
34297,Clint,926,TX
34298,Las Piedras,5883,PR
34299,Topawa,299,AZ
34300,Jagual,1062,PR
34301,Luis Llor_ns Torres,2912,PR
34302,Ventana,49,AZ
34303,Morovis,2032,PR
34304,Waimea,9212,HI
34305,Heimdal,27,ND
34306,Pueblito Del Rêo,1310,PR
34307,Vinton,1971,TX
34308,Port Lions,194,AK
34309,Tonsina,78,AK
34310,Potala Pastillo,3092,PR
34311,Wahak Hotrontk,114,AZ
34312,Denhoff,20,ND
34313,Barahona,2469,PR
34314,Anahola,2223,HI
34315,Cordova,2239,AK
34316,Juneau,31275,AK
34317,Lomas,956,PR
34318,Toyah,90,TX
34319,Nabesna,5,AK
34320,Kake,557,AK
34321,Roy,108,MT
34322,Fr_nquez,1948,PR
34323,Ele'ele,2390,HI
34324,San Isidro,6828,PR
34325,Tenaha,1160,TX
34326,Hanalei,450,HI
34327,Rinc_n,1456,PR
34328,Gibson Flats,199,MT
34329,Santa B_rbara,4622,PR
34330,Happy Valley,593,AK
34331,Coolidge,955,TX
34332,Petersburg,2948,AK
34334,Why,167,AZ
34335,Stella,1088,PR
34336,Sand Coulee,212,MT
34337,Tehuacana,283,TX
34338,Elfin Cove,20,AK
34339,Hope,192,AK
34341,Hanama'ulu,3835,HI
34342,Hanapepe,2638,HI
34343,Campo Rico,3006,PR
34344,Kalifornsky,7850,AK
34345,Tenakee Springs,131,AK
34346,Thornton,526,TX
34347,Stockett,169,MT
34348,Rafael Hern_ndez,1351,PR
34349,Aguilita,4747,PR
34350,Willow Canyon,1,AZ
34352,Kalaheo,4595,HI
34353,Aguadilla,13310,PR
34354,Jessie,25,ND
34355,Patagonia,913,AZ
34356,Skagway,920,AK
34357,Kasilof,549,AK
34358,Moose Pass,219,AK
34359,Angoon,459,AK
34360,Sutton,17,ND
34361,Beyerville,177,AZ
34362,Kapa'a,10699,HI
34363,Cab_n,3334,PR
34364,Guayabal,2036,PR
34365,Bowie,449,AZ
34367,Kekaha,3537,HI
34368,Kino Springs,136,AZ
34369,Gustavus,442,AK
34370,Blanchard,26,ND
34371,Magas Arriba,1215,PR
34372,Fajardo,28930,PR
34373,Ninilchik,883,AK
34374,Kilauea,2803,HI
34375,Mullin,179,TX
34376,Hoonah,760,AK
34378,Caledonia,39,ND
34379,Dragoon,209,AZ
34380,Anchor Point,1930,AK
